"YTG_START","QTR_START","T_ELAPSED","TOT_YDS","FIRST_DOWNS","NPLAYS","POINTS","PLAYS_PER_1STDOWN","FG","TD","INT","FUMBLE","BLITZ_PER_PLAY","YDS_PER_PLAY","CARRY","ATT"
47,4,37,-1,0,1,0,1,0,0,0,0,0,-2,-1,0
80,1,245,67,4,10,3,2,1,0,0,0,0,6.7,9,6.2
53,4,327,42,4,12,0,2.4,0,0,0,0,0.08,3.5,3.27,6
80,1,148,11,1,4,0,2,0,0,0,0,0.5,2.75,4.5,13
73,3,154,37,2,6,0,2,0,0,0,1,0,6.17,-1,9.75
80,3,95,6,0,3,0,3,0,0,0,0,1.33,18.67,2.63,3.18
70,3,65,70,3,4,7,1,0,1,0,0,0.25,17.5,14.67,26
80,3,213,60,2,8,0,2.7,0,0,0,0,0,7.5,4.6,40
80,2,154,25,2,5,0,1.7,0,0,1,0,0,13.6,4,16
96,3,212,21,2,9,0,3,0,0,0,0,0.44,2.89,1.5,4
80,1,434,50,4,13,3,2.6,1,0,0,0,0.38,3.85,4.38,3.75
61,2,348,61,5,11,7,1.8,0,1,0,0,0.18,5.55,5.71,4.2
11,2,45,11,1,2,7,1,0,1,0,0,0.5,5.5,4,7
80,4,33,80,3,5,7,1.3,0,1,0,0,0,16,0,16
82,3,89,4,0,3,0,3,0,0,0,0,0,1.33,-5,3
76,4,139,18,2,6,0,2,0,0,0,0,0.5,2.17,3,1.4
80,3,113,36,2,5,0,1.7,0,0,1,0,0,15,7,17
84,4,220,45,3,10,0,2.5,0,0,0,0,0.2,5,5.14,4.67
80,1,364,72,4,11,3,2.2,1,0,0,0,0.09,5.18,4.5,7.17
80,1,249,80,4,8,7,1.6,0,1,0,0,0.13,11.88,3.75,16
80,2,123,-3,0,3,0,3,0,0,0,0,0.33,0.67,0,5
76,3,51,4,0,3,0,3,0,0,0,0,0,1.33,4,0
83,1,94,-11,0,3,0,3,0,0,0,0,0,-3.67,-2,0
87,2,67,58,5,10,3,1.7,1,0,0,0,0.7,6.8,5,7
61,4,115,19,1,4,0,2,0,0,0,0,0,4.75,2,7.5
