"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Ohio State Buckeyes","Jeff Heuerman","Devin Smith","Jalin Marshall","Ezekiel Elliott","Corey Smith",0.32,5.4,59.1,5.5,10.8,6.1
"Ohio State Buckeyes","Total","Total","Total","Total","Total",0.22,6.9,65.3,6,14.3,9.1
"Ohio State Buckeyes","Jeff Heuerman","Devin Smith","Michael Thomas","Jalin Marshall","Ezekiel Elliott",0.19,7,60.9,6.7,14.4,8.7
"Oklahoma Sooners","Total","Total","Total","Total","Total",0.13,6.3,56.7,6.2,12.5,6.9
"Oklahoma Sooners","Blake Bell","Aaron Ripkowski","Durron Neal","Sterling Shepard","Samaje Perine",0.08,5.8,55.6,4.6,20.5,11.4
"Oklahoma Sooners","Blake Bell","Durron Neal","Sterling Shepard","K.J. Young","Samaje Perine",0.15,5.3,37.5,7.6,12.3,4.6
"Oklahoma Sooners","Blake Bell","Durron Neal","Alex Ross","Sterling Shepard","K.J. Young",0.15,5.7,58.1,2.4,14.6,8.2
"Oklahoma State Cowboys","Total","Total","Total","Total","Total",0.18,5.3,55.7,3.9,14,7.8
"Ole Miss Rebels","Total","Total","Total","Total","Total",0.13,5.9,62.3,4.6,13.2,8
"Ole Miss Rebels","Vince Sanders","Cody Core","Jaylen Walton","Laquon Treadwell","Evan Engram",0.17,6.9,67.9,4.1,14.4,9.4
"Ole Miss Rebels","Vince Sanders","Cody Core","I'Tavius Mathers","Laquon Treadwell","Evan Engram",0.17,7.6,69.4,6.9,12.9,9
"Oregon Ducks","Pharaoh Brown","Byron Marshall","Dwayne Stanford","Devon Allen","Royce Freeman",0.05,8.8,75,6.9,17.2,12.9
"Oregon Ducks","Total","Total","Total","Total","Total",0.15,7.1,68.9,5.7,14.4,9.9
"Oregon Ducks","Keanon Lowe","Pharaoh Brown","Byron Marshall","Devon Allen","Royce Freeman",0.18,7.5,65,4.8,19.9,13
"Oregon State Beavers","Connor Hamlett","Terron Ward","Victor Bolden","Hunter Jarmon","Jordan Villamin",0.34,3.4,50,0.1,8.5,4.3
"Oregon State Beavers","Total","Total","Total","Total","Total",0.25,5.4,61.8,4.2,11.4,7
"Penn State Nittany Lions","Jesse James","Geno Lewis","Akeel Lynch","DaeSean Hamilton","Chris Godwin",0.2,3.3,54.7,1.3,9.5,5
"Penn State Nittany Lions","Kyle Carter","Jesse James","Geno Lewis","Akeel Lynch","DaeSean Hamilton",0.17,4.9,59,5.4,8.9,5.2
"Penn State Nittany Lions","Total","Total","Total","Total","Total",0.23,4.6,56.5,3.4,10.9,6.1
"Penn State Nittany Lions","Bill Belton","Jesse James","Geno Lewis","DaeSean Hamilton","Chris Godwin",0.35,4.1,52.5,0.5,12,6.1
"Penn State Nittany Lions","Bill Belton","Kyle Carter","Jesse James","Geno Lewis","DaeSean Hamilton",0.21,5,52.8,3.4,12.6,6.7
"Pittsburgh Panthers","Manasseh Garner","J.P. Holtz","Tyler Boyd","James Conner","Jaymar Parrish",0.2,6.4,60,6.2,15.2,8.4
"Pittsburgh Panthers","Kevin Weatherspoon","Manasseh Garner","Isaac Bennett","J.P. Holtz","Tyler Boyd",0.37,6.4,60,5.3,12.4,7.3
"Pittsburgh Panthers","Total","Total","Total","Total","Total",0.24,6,62,5.6,12.8,7.8
